title	paper_id	venue	issue	year	urls	doi	pages
Semantically enhanced software traceability using deep learning techniques.	ICSE-2017-0	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.9;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.9;http://dl.acm.org/citation.cfm?id=3097370	10.1109/ICSE.2017.9	12
Can latent topics in source code predict missing architectural tactics?	ICSE-2017-1	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.10;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.10;http://dl.acm.org/citation.cfm?id=3097371	10.1109/ICSE.2017.10	12
Analyzing APIs documentation and code to detect directive defects.	ICSE-2017-2	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.11;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.11;http://dl.acm.org/citation.cfm?id=3097373	10.1109/ICSE.2017.11	11
An unsupervised approach for discovering relevant tutorial fragments for APIs.	ICSE-2017-3	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.12;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.12;http://dl.acm.org/citation.cfm?id=3097374	10.1109/ICSE.2017.12	11
Detecting user story information in developer-client conversations to generate extractive summaries.	ICSE-2017-4	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.13;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.13;http://dl.acm.org/citation.cfm?id=3097375	10.1109/ICSE.2017.13	11
Clone refactoring with lambda expressions.	ICSE-2017-5	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.14;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.14;http://dl.acm.org/citation.cfm?id=3097377	10.1109/ICSE.2017.14	11
Characterizing and detecting anti-patterns in the logging code.	ICSE-2017-6	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.15;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.15;http://dl.acm.org/citation.cfm?id=3097378	10.1109/ICSE.2017.15	11
Automated refactoring of legacy Java software to default methods.	ICSE-2017-7	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.16;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.16;http://dl.acm.org/citation.cfm?id=3097379	10.1109/ICSE.2017.16	12
Supporting software developers with a holistic recommender system.	ICSE-2017-8	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.17;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.17;http://dl.acm.org/citation.cfm?id=3097381	10.1109/ICSE.2017.17	12
Recommending and localizing change requests for mobile apps based on user reviews.	ICSE-2017-9	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.18;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.18;http://dl.acm.org/citation.cfm?id=3097382	10.1109/ICSE.2017.18	12
Machine learning-based detection of open source license exceptions.	ICSE-2017-10	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.19;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.19;http://dl.acm.org/citation.cfm?id=3097383	10.1109/ICSE.2017.19	12
Software development waste.	ICSE-2017-11	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.20;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.20;http://dl.acm.org/citation.cfm?id=3097385	10.1109/ICSE.2017.20	11
Becoming agile: a grounded theory of agile transitions in practice.	ICSE-2017-12	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.21;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.21;http://dl.acm.org/citation.cfm?id=3097386	10.1109/ICSE.2017.21	11
From diversity by numbers to diversity as process: supporting inclusiveness in software development teams with brainstorming.	ICSE-2017-13	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.22;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.22;http://dl.acm.org/citation.cfm?id=3097387	10.1109/ICSE.2017.22	12
Classifying developers into core and peripheral: an empirical study on count and network metrics.	ICSE-2017-14	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.23;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.23;http://dl.acm.org/citation.cfm?id=3097389	10.1109/ICSE.2017.23	11
Decoding the representation of code in the brain: an fMRI study of code review and expertise.	ICSE-2017-15	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.24;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.24;http://dl.acm.org/citation.cfm?id=3097390	10.1109/ICSE.2017.24	12
Understanding the impressions, motivations, and barriers of one time code contributors to FLOSS projects: a survey.	ICSE-2017-16	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.25;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.25;http://dl.acm.org/citation.cfm?id=3097391	10.1109/ICSE.2017.25	11
Search-driven string constraint solving for vulnerability detection.	ICSE-2017-17	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.26;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.26;http://dl.acm.org/citation.cfm?id=3097393	10.1109/ICSE.2017.26	11
A guided genetic algorithm for automated crash reproduction.	ICSE-2017-18	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.27;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.27;http://dl.acm.org/citation.cfm?id=3097394	10.1109/ICSE.2017.27	12
Stochastic optimization of program obfuscation.	ICSE-2017-19	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.28;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.28;http://dl.acm.org/citation.cfm?id=3097395	10.1109/ICSE.2017.28	11
ZenIDS: introspective intrusion detection for PHP applications.	ICSE-2017-20	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.29;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.29;http://dl.acm.org/citation.cfm?id=3097397	10.1109/ICSE.2017.29	12
Statically checking web API requests in JavaScript.	ICSE-2017-21	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.30;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.30;http://dl.acm.org/citation.cfm?id=3097398	10.1109/ICSE.2017.30	11
On cross-stack configuration errors.	ICSE-2017-22	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.31;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.31;http://dl.acm.org/citation.cfm?id=3097399	10.1109/ICSE.2017.31	11
Efficient detection of thread safety violations via coverage-guided generation of concurrent tests.	ICSE-2017-23	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.32;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.32;http://dl.acm.org/citation.cfm?id=3097401	10.1109/ICSE.2017.32	12
RClassify: classifying race conditions in web applications via deterministic replay.	ICSE-2017-24	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.33;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.33;http://dl.acm.org/citation.cfm?id=3097402	10.1109/ICSE.2017.33	11
Repairing event race errors by controlling nondeterminism.	ICSE-2017-25	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.34;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.34;http://dl.acm.org/citation.cfm?id=3097403	10.1109/ICSE.2017.34	11
Making malory behave maliciously: targeted fuzzing of android execution environments.	ICSE-2017-26	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.35;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.35;http://dl.acm.org/citation.cfm?id=3097405	10.1109/ICSE.2017.35	12
A SEALANT for inter-app security holes in android.	ICSE-2017-27	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.36;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.36;http://dl.acm.org/citation.cfm?id=3097406	10.1109/ICSE.2017.36	12
An efficient, robust, and scalable approach for analyzing interacting android apps.	ICSE-2017-28	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.37;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.37;http://dl.acm.org/citation.cfm?id=3097407	10.1109/ICSE.2017.37	11
LibD: scalable and precise third-party library detection in android markets.	ICSE-2017-29	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.38;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.38;http://dl.acm.org/citation.cfm?id=3097409	10.1109/ICSE.2017.38	12
Analysis and testing of notifications in Android wear applications.	ICSE-2017-30	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.39;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.39;http://dl.acm.org/citation.cfm?id=3097410	10.1109/ICSE.2017.39	11
Adaptive unpacking of Android apps.	ICSE-2017-31	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.40;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.40;http://dl.acm.org/citation.cfm?id=3097411	10.1109/ICSE.2017.40	12
Performance diagnosis for inefficient loops.	ICSE-2017-32	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.41;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.41;http://dl.acm.org/citation.cfm?id=3097413	10.1109/ICSE.2017.41	11
How do developers fix cross-project correlated bugs?: a case study on the GitHub scientific python ecosystem.	ICSE-2017-33	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.42;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.42;http://dl.acm.org/citation.cfm?id=3097414	10.1109/ICSE.2017.42	12
Feedback-based debugging.	ICSE-2017-34	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.43;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.43;http://dl.acm.org/citation.cfm?id=3097415	10.1109/ICSE.2017.43	11
