rank	paper_id	star	repo_name
1	FSE-2020-108	5760	microsoft/MMdnn
2	FSE-2019-67	3448	uber/NullAway
3	ICSE-2021-26	2047	github/CodeSearchNet
4	ICSE-2022-43	1756	microsoft/CodeBERT
5	FSE-2022-87	1756	microsoft/CodeBERT
6	ICSE-2018-79	539	ravichugh/sketch-n-sketch
7	ICSE-2020-43	492	smartbugs/smartbugs
8	ICSE-2018-56	319	tsantalis/RefactoringMiner
9	ICSE-2019-103	290	acid-state/acid-state
10	ICSE-2018-117	274	guxd/deep-code-search
11	ICSE-2021-132	269	vitsalis/pycg
12	ASE-2018-45	239	carolemieux/afl-rb
13	FSE-2019-48	237	mc-imperial/jfs
14	ICSE-2022-193	221	CGCL-codes/naturalcc
15	FSE-2022-103	221	CGCL-codes/naturalcc
16	ASE-2018-26	218	gongbell/ContractFuzzer
17	ICSE-2018-120	209	CozySynthesizer/cozy
18	ICSE-2019-67	204	zhangj1994/astnn
19	ISSTA-2018-27	198	xgdsmileboy/SimFix
20	ISSTA-2018-9	181	ChrisCummins/phd
21	FSE-2018-7	167	logpai/Log3C
22	ASE-2018-23	148	2bdenny/ReScue
23	ICSE-2019-63	146	SoftSec-KAIST/Eclipser
24	FSE-2017-24	134	tingsu/Stoat
25	ISSTA-2018-23	128	carolemieux/perffuzz
26	ICSE-2018-113	125	FeatureIDE/FeatureIDE
27	ICSE-2019-8	119	ropas/sparrow
28	ASE-2021-20	118	SoftSec-KAIST/Smartian
29	ICSE-2022-112	114	LogIntelligence/LogADEmpirical
30	ASE-2018-13	111	TrustAI/DeepConcolic
31	ICSE-2019-62	109	zhunki/Superion
32	ISSTA-2022-0	107	vul337/jTrans
33	ICSE-2020-39	103	DroidTest/TimeMachine
34	ICSE-2021-12	98	facebookresearch/code-prediction-transformer
35	FSE-2017-46	98	LASER-UMASS/Themis
36	ASE-2020-77	95	BorgwardtLab/GraphKernels
37	ISSTA-2020-0	91	andreafioraldi/weizz-fuzzer
38	FSE-2020-98	90	chenjshnn/Object-Detection-for-Graphical-User-Interface
39	FSE-2017-10	89	mmjb/T2
40	FSE-2020-58	85	Practical-Formal-Methods/storm
41	ICSE-2021-95	84	bdqnghi/infercode
42	ASE-2021-41	78	vanhoanglepsa/NeuralLog
43	ASE-2017-38	76	SoftSec-KAIST/MeanDiff
44	FSE-2021-21	76	jeresig/dromaeo
45	ICSE-2021-60	73	GUIDesignResearch/GUIGAN
46	ICSE-2021-109	69	google/tsec
47	ISSTA-2020-33	67	DependableSystemsLab/SolidiFI
48	ASE-2017-36	66	kdudka/predator
49	ISSTA-2021-49	66	ibm/jsonsubschema
50	ICSE-2017-29	65	IIE-LibD/libd
51	FSE-2017-69	65	SLP-Team/SLP-Core
52	ICSE-2022-83	63	ise-uiuc/FreeFuzz
53	ISSTA-2019-4	61	prapr/prapr
54	FSE-2021-62	60	bayesgroup/code_transformers
55	ICSE-2021-116	59	YangLin-George/PLELog
56	ASE-2018-35	58	data61/PSL
57	FSE-2018-14	58	parasol-aser/deepsim
58	FSE-2021-29	57	vulnerabilitydetection/VulnerabilityDetectionResearch
59	ISSTA-2020-32	56	valour01/arm_disasssembler_study
60	FSE-2021-61	56	CUMLSec/stateformer
61	ICSE-2020-83	54	SoftSec-KAIST/Ankou
62	ICSE-2019-23	53	tianxiaogu/ape
63	ISSTA-2021-20	53	HexHive/Gramatron
64	ICSE-2017-34	52	llmhyy/microbat
65	ISSTA-2020-8	50	lin-tan/CoCoNut-Artifact
66	FSE-2018-15	49	DeepTyper/DeepTyper
67	FSE-2020-65	49	Jacob-yen/LEMON
68	FSE-2022-51	49	rindPHI/isla
69	ASE-2019-74	47	logpai/logzip
70	ASE-2021-49	47	JetBrains-Research/PyNose
71	ISSTA-2022-32	47	vul337/PrIntFuzz
72	FSE-2021-33	47	pkuzqh/Recoder
73	ICSE-2022-192	46	CGCL-codes/VulCNN
74	ASE-2017-65	46	bugs-dot-jar/bugs-dot-jar
75	ASE-2019-89	46	1dayto0day/B2SFinder
76	FSE-2022-79	46	awsm-research/VulRepair
77	ICSE-2020-42	45	CC2Vec/CC2Vec
78	ICSE-2020-87	44	giganticode/codeprep
79	ICSE-2018-34	43	deeplearningTest/deepTest
80	ICSE-2020-114	43	sameerreddy13/rlcheck
81	ICSE-2019-89	42	coinse/sadl
82	ISSTA-2018-22	42	albertogoffi/toradocu
83	ICSE-2021-93	41	lin-tan/CURE
84	ASE-2018-48	41	llmhyy/tregression
85	FSE-2022-35	41	adf1178/PT4Code
86	FSE-2022-65	41	sola-st/DynaPyt
87	ICSE-2018-92	40	sola-da/ConflictJS
88	ICSE-2022-111	40	ltlfuzzer/LTL-Fuzzer
89	ISSTA-2019-17	40	DeepFL/DeepFaultLocalization
90	ICSE-2022-3	40	MCUSec/microAFL
91	ICSE-2022-4	38	NougatCA/SPT-Code
92	ASE-2021-48	38	Artisan-Lab/RULF
93	ICSE-2020-112	38	zhangj111/rencos
94	ICSE-2022-165	37	acieroid/wassail
95	ICSE-2022-189	37	squaresLab/VarCLR
96	ASE-2018-63	37	FudanSELab/CLDIFF
97	FSE-2020-15	37	stg-tud/opal
98	FSE-2021-57	36	Practical-Formal-Methods/queryFuzz
99	FSE-2022-6	36	saikat107/NatGen
100	ICSE-2018-49	35	gmu-swe/deflaker
101	ICSE-2019-15	35	isstac/diffuzz
102	ICSE-2021-69	35	wooseunghoon/Centris-public
103	ISSTA-2021-45	35	renardbebe/Smart-Contract-Benchmark-Suites
104	FSE-2020-18	35	seclab-ucr/UBITect
105	ICSE-2021-121	34	ataraxie/codeshovel
106	ISSTA-2021-17	34	setting-defect-fuzzing/home
107	ASE-2022-36	34	bajinsheng/ReZZan
108	ICSE-2018-67	33	RafaelTupynamba/quicksampler
109	ICSE-2022-104	33	chicharitomu14/AndScanner
110	FSE-2018-29	33	DeccaDC/Decca
111	FSE-2020-61	33	rahlk/MTFuzz
112	FSE-2021-77	33	paulgazz/kmax
113	ICSE-2019-68	32	mcmillco/funcom
114	ICSE-2019-69	32	lfd/PaStA
115	ICSE-2022-122	32	soarsmu/attack-pretrain-models-of-code
116	ASE-2020-54	32	kaist-plrg/jiset
117	ISSTA-2021-51	32	PanYicheng/dycause_rca
118	ISSTA-2022-25	32	SongXueZhi/RegMiner
119	ICSE-2018-152	32	kupl/ParaDySE
120	ICSE-2018-6	31	ReMine-Lab/IDEA
121	ICSE-2018-75	31	parasol-aser/UFO
122	ICSE-2018-119	31	facoy/facoy
123	ICSE-2021-13	31	RosaliaTufano/code_review
124	ICSE-2022-138	31	githubnext/amalfi-artifact
125	ASE-2019-9	31	secure-software-engineering/COVA
126	ISSTA-2019-5	31	SerVal-DTF/TBar
127	ISSTA-2020-2	31	uds-se/lFuzzer
128	ICSE-2017-35	30	gustavoasoares/refazer
129	ASE-2022-43	30	SoftSec-KAIST/Fuzzle
130	ICSE-2022-81	29	DJjjjhao/FIRA-ICSE
131	ICSE-2022-173	29	microsoft/toga
132	ISSTA-2018-12	29	ForeverZyh/TensorFlow-Program-Bugs
133	ISSTA-2020-41	29	shiyy123/FCDetector
134	ISSTA-2021-34	29	ZZR0/ISSTA21-JIT-DP
135	ISSTA-2018-6	28	exatoa/Bench4BL
136	ISSTA-2022-14	28	lin-tan/DocTer
137	FSE-2019-76	28	SEntiMoji/SEntiMoji
138	ICSE-2020-49	27	ICSE-2019-AUTOFIX/ICSE-2019-AUTOFIX
139	ICSE-2022-117	27	library-testing/Muffin
140	ICSE-2020-64	26	Practical-Formal-Methods/bran
141	ICSE-2022-131	26	DeepSoftwareAnalytics/CodeSumEvaluation
142	ASE-2021-38	26	neil-kulkarni/arvada
143	FSE-2022-95	26	ChijinZ/Minerva
144	ICSE-2019-28	25	dockerizeme/dockerizeme
145	ICSE-2021-27	25	antonio-mastropaolo/T5-learning-ICSE_2021
146	ICSE-2021-58	25	vasumv/bonsai-fuzzing
147	ICSE-2022-92	25	CelloCorgi/HashingItOut_ICSE2022
148	ISSTA-2019-7	25	ucam-cl-dtg/LibID
149	ICSE-2020-57	24	DeepImportance/deepimportance_code_release
150	ASE-2019-39	24	vlab-cs-ucsb/ABC
151	ASE-2021-34	24	awsm-research/PyExplainer
152	ISSTA-2022-35	24	BBge/FirmSecDataset
153	FSE-2018-36	24	vlab-cs-ucsb/ABC
154	ASE-2022-21	24	EngineeringSoftware/CoditT5
155	ICSE-2018-121	23	viatra/VIATRA-Generator
156	ICSE-2019-26	23	sola-da/NL2Type
157	ICSE-2019-107	23	dgl-prc/m_testing_adversatial_sample
158	ICSE-2021-135	23	VPDroid/Dev
159	ICSE-2022-9	23	OpsPAI/ADSketch
160	ICSE-2022-145	23	Tritlo/PropR
161	ASE-2019-33	23	githubhuyang/refactory
162	ISSTA-2020-12	22	anlalalu/Q-testing
163	FSE-2017-67	22	jyi/ITSP
164	FSE-2018-16	22	jjhenkel/code-vectors-artifact
165	FSE-2021-78	22	sola-st/SemSeed
166	FSE-2021-83	22	ShenQingchao/DLCstudy
167	FSE-2022-31	22	MulongXie/GUI-Perceptual-Grouping
168	ASE-2022-22	22	EngineeringSoftware/jattack
169	ASE-2022-63	22	tianzhaotju/LEAM
170	ASE-2022-105	22	lkpsg/ccscanner
171	ICSE-2017-26	21	srasthofer/FuzzDroid
172	ICSE-2022-97	21	mxx1219/TRANSFER
173	ISSTA-2017-8	21	pietrobraione/sushi
174	ISSTA-2020-6	21	yilinglou/proFL
175	ISSTA-2021-50	21	rshariffdeen/FixMorph
176	FSE-2021-117	21	FISCO-BCOS/SCStudio
177	FSE-2021-80	21	JetBrains-Research/authorship-detection
178	ICSE-2017-36	20	Adobee/ACS
179	ICSE-2021-92	20	STAR-RG/shipwright
180	ICSE-2022-16	20	zetang94/ICSE2022_AST_Trans
181	ICSE-2022-45	20	AutomatedProgramRepair-2021/dear-auto-fix
182	ICSE-2022-102	20	JordanSamhi/JuCify
183	ASE-2017-13	20	senticr/SentiCR
184	ASE-2017-61	20	season-lab/memsight
185	ASE-2019-22	20	xgdsmileboy/GenPat
186	ISSTA-2018-29	20	isstac/badger
187	ISSTA-2021-14	20	TOLLER-Android/main
188	FSE-2020-14	20	vrthra/mimid
