paper_id	title	artifact_url	artifact_url_valid	url_location	url_format
ICSE-2017-0	Semantically enhanced software traceability using deep learning techniques.	https://github.com/jinguo/TraceNN	False	o	t
ICSE-2017-1	Can latent topics in source code predict missing architectural tactics?				
ICSE-2017-2	Analyzing APIs documentation and code to detect directive defects.				
ICSE-2017-3	An unsupervised approach for discovering relevant tutorial fragments for APIs.	http://oscar-lab.org/people/~jxzhang/FRAPT/	True	i	t
ICSE-2017-4	Detecting user story information in developer-client conversations to generate extractive summaries.	http://www3.nd.edu/∼prodeghe/projects/userstories/	False	i	f
ICSE-2017-5	Clone refactoring with lambda expressions.	http://tiny.cc/ICSE17	False	i	f
ICSE-2017-6	Characterizing and detecting anti-patterns in the logging code.	http://nemo9cby.github.io/icse2017.html	True	o	r
ICSE-2017-7	Automated refactoring of legacy Java software to default methods.	http://git.io/v2nX0;https://github.com/ponder-lab/Migrate-Skeletal-Implementation-to-Interface-Refactoring	False	o	r
ICSE-2017-8	Supporting software developers with a holistic recommender system.	http://libra.inf.usi.ch	True	o	f
ICSE-2017-9	Recommending and localizing change requests for mobile apps based on user reviews.	https://sites.google.com/site/changeadvisormobile/	True	i	r
ICSE-2017-10	Machine learning-based detection of open source license exceptions.				
ICSE-2017-11	Software development waste.				
ICSE-2017-12	Becoming agile: a grounded theory of agile transitions in practice.				
ASE-2017-100	STARTS: STAtic regression test selection.	https://youtu.be/PCNtk8jphrM	True	a	t
ICSE-2017-14	Classifying developers into core and peripheral: an empirical study on count and network metrics.	http://siemens.github.io/codeface/icse2017/	True	i	f
ICSE-2017-15	Decoding the representation of code in the brain: an fMRI study of code review and expertise.	http://dijkstra.cs.virginia.edu/fmri/	False	o	t
ICSE-2017-16	Understanding the impressions, motivations, and barriers of one time code contributors to FLOSS projects: a survey.				
ICSE-2017-17	Search-driven string constraint solving for vulnerability detection.	http://carver.cs.ua.edu/Data/2017/ICSE	False	o	f
ICSE-2017-18	A guided genetic algorithm for automated crash reproduction.	http://www.evocrash.org/	False	i	f
ICSE-2017-19	Stochastic optimization of program obfuscation.	https://bitbucket.org/njaliu/closure-star-tool	False	o	t
ICSE-2017-20	ZenIDS: introspective intrusion detection for PHP applications.	https://github.com/uci-plrg/zen-ids	True	o	t
ICSE-2017-21	Statically checking web API requests in JavaScript.				
