rank	paper_id	star	repo_name	fork	issue	update_date	available	Documented	exercisable	DOC-Completeness	DOC-Structure	DOC-Usability	DOC-Use example	DOC-Certificate	DOC-Contact
1	FSE-2020-108	5760	https://github.com/microsoft/MMdnn	979	1280	2023-10-03	Y	Y	Y	Y	Y	Y	Y	Y	Y
2	FSE-2019-67	3448	https://github.com/uber/NullAway	285	967	2023-12-08	Y	Y	Y	Y	N	Y	Y	Y	Y
3	ICSE-2021-26	2047	https://github.com/github/CodeSearchNet	377	256	2022-01-31	Y	Y	Y	Y	N	Y	Y	Y	N
4	ICSE-2022-43	1756	https://github.com/microsoft/CodeBERT	390	364	2023-07-09	Y	Y	Y	N	Y	Y	Y	Y	Y
5	FSE-2022-87	1756	https://github.com/microsoft/CodeBERT	390	364	2023-07-09	Y	Y	Y	N	Y	Y	Y	Y	Y
6	ICSE-2018-79	539	https://github.com/ravichugh/sketch-n-sketch	35	164	2021-06-24	Y	Y	Y	Y	N	Y	Y	Y	N
7	ICSE-2020-43	492	https://github.com/smartbugs/smartbugs	125	171	2023-11-27	Y	Y	Y	Y	N	Y	Y	Y	Y
8	ICSE-2018-56	319	https://github.com/tsantalis/RefactoringMiner	128	581	2023-12-08	Y	Y	Y	Y	N	Y	Y	Y	N
9	ICSE-2019-103	290	https://github.com/acid-state/acid-state	62	194	2023-10-28	Y	Y	Y	Y	N	N	N	N	N
10	ICSE-2018-117	274	https://github.com/guxd/deep-code-search	86	103	2022-05-26	Y	Y	Y	N	N	N	Y	Y	N
11	ICSE-2021-132	269	https://github.com/vitsalis/pycg	44	74	2023-11-26	Y	Y	Y	Y	N	Y	Y	Y	N
12	ASE-2018-45	239	https://github.com/carolemieux/afl-rb	49	17	2019-02-19	Y	Y	Y	N	N	Y	N	Y	Y
13	FSE-2019-48	237	https://github.com/mc-imperial/jfs	20	74	2023-11-28	Y	Y	Y	Y	N	Y	Y	Y	N
14	ICSE-2022-193	221	https://github.com/CGCL-codes/naturalcc	36	41	2023-12-01	Y	Y	Y	Y	N	Y	Y	Y	Y
15	FSE-2022-103	221	https://github.com/CGCL-codes/naturalcc	36	41	2023-12-01	Y	Y	Y	Y	N	Y	Y	Y	Y
16	ASE-2018-26	218	https://github.com/gongbell/ContractFuzzer	83	42	2022-12-07	Y	Y	Y	N	Y	Y	Y	Y	Y
17	ICSE-2018-120	209	https://github.com/CozySynthesizer/cozy	18	147	2020-10-30	Y	Y	Y	Y	N	Y	Y	Y	N
18	ICSE-2019-67	204	https://github.com/zhangj1994/astnn	96	57	2023-04-07	Y	Y	Y	Y	N	Y	Y	Y	N
19	ISSTA-2018-27	198	https://github.com/xgdsmileboy/SimFix	30	28	2023-04-10	Y	Y	Y	Y	Y	Y	Y	Y	N
20	ISSTA-2018-9	181	https://github.com/ChrisCummins/phd	35	169	2022-10-05	Y	Y	Y	Y	Y	Y	N	Y	Y
21	FSE-2018-7	167	https://github.com/logpai/Log3C	42	16	2023-07-06	Y	Y	Y	Y	Y	Y	Y	N	N
22	ASE-2018-23	148	https://github.com/2bdenny/ReScue	28	15	2021-12-19	Y	Y	Y	Y	Y	Y	Y	Y	N
23	ICSE-2019-63	146	https://github.com/SoftSec-KAIST/Eclipser	16	24	2021-10-04	Y	Y	Y	Y	N	Y	Y	Y	N
24	FSE-2017-24	134	https://github.com/tingsu/Stoat	37	33	2023-04-26	Y	Y	Y	Y	N	Y	Y	N	Y
25	ISSTA-2018-23	128	https://github.com/carolemieux/perffuzz	10	8	2020-02-19	Y	Y	Y	N	N	Y	Y	N	Y
26	ICSE-2018-113	125	https://github.com/FeatureIDE/FeatureIDE	89	1585	2023-11-29	Y	Y	Y	N	N	N	Y	Y	N
27	ICSE-2019-8	119	https://github.com/ropas/sparrow	26	9	2021-09-19	Y	Y	Y	Y	N	Y	Y	Y	N
28	ASE-2021-20	118	https://github.com/SoftSec-KAIST/Smartian	16	14	2023-04-13	Y	Y	Y	N	Y	Y	Y	Y	N
29	ICSE-2022-112	114	https://github.com/LogIntelligence/LogADEmpirical	30	38	2023-10-03	Y	Y	Y	Y	N	Y	Y	Y	N
30	ASE-2018-13	111	https://github.com/TrustAI/DeepConcolic	46	86	2021-07-16	Y	Y	Y	Y	N	Y	Y	Y	N
31	ICSE-2019-62	109	https://github.com/zhunki/Superion	20	32	2022-08-18	Y	Y	Y	Y	N	Y	Y	N	N
32	ISSTA-2022-0	107	https://github.com/vul337/jTrans	11	31	2023-10-31	Y	Y	Y	Y	N	Y	Y	Y	N
33	ICSE-2020-39	103	https://github.com/DroidTest/TimeMachine	23	21	2022-07-04	Y	Y	Y	Y	N	Y	Y	Y	N
