Conference,Year,Submission deadline,Paper notification,Camera-ready deadline,Conference time
ASE,2017,92.3%,88.5%,80.8%,76.9%
ASE,2018,96.4%,89.3%,85.7%,78.6%
ASE,2019,96.4%,85.7%,60.7%,53.6%
ASE,2020,100.0%,95.6%,73.3%,62.2%
ASE,2021,100.0%,97.8%,69.6%,52.2%
ASE,2022,98.3%,93.2%,71.2%,55.9%
ASE,Average,97.8%,92.7%,72.8%,61.2%
FSE,2017,100.0%,92.0%,80.0%,68.0%
FSE,2018,96.4%,89.3%,57.1%,46.4%
FSE,2019,97.0%,90.9%,84.8%,78.8%
FSE,2020,95.6%,95.6%,71.1%,60.0%
FSE,2021,98.6%,92.9%,75.7%,47.1%
FSE,2022,96.0%,92.0%,68.0%,46.0%
FSE,Average,97.2%,92.4%,72.9%,55.4%
ICSE,2017,100.0%,85.7%,85.7%,64.3%
ICSE,2018,97.1%,97.1%,85.3%,76.5%
ICSE,2019,100.0%,94.9%,84.6%,64.1%
ICSE,2020,98.1%,92.3%,73.1%,50.0%
ICSE,2021,96.7%,95.1%,78.7%,60.7%
ICSE,2022,99.0%,91.1%,77.2%,54.5%
ICSE,Average,98.3%,93.0%,79.1%,59.1%
ISSTA,2017,100.0%,100.0%,100.0%,100.0%
ISSTA,2018,100.0%,84.6%,84.6%,76.9%
ISSTA,2019,90.9%,90.9%,81.8%,63.6%
ISSTA,2020,95.8%,95.8%,83.3%,70.8%
ISSTA,2021,96.4%,92.9%,82.1%,60.7%
ISSTA,2022,100.0%,91.4%,77.1%,42.9%
ISSTA,Average,97.4%,92.3%,82.1%,61.5%
